User;Name;Date;changes
Category;Category;Date[dd/MM/yyyy HH:mm];int
Probot;Bon_Albert_Briois_de_Beaumetz;25/01/2006 09:15;2
Vargenau;Club_de_Salm;27/01/2006 02:23;103
Vargenau;Adoption_par_Louis_XVI_de_la_cocarde_tricolore;27/01/2006 03:42;32
Vargenau;Conspiration_de_Bicêtre;27/01/2006 05:18;91
Badmood;Bon_Albert_Briois_de_Beaumetz;27/01/2006 11:43;84
Badmood;Alexandre_François_Marie_de_Beauharnais;27/01/2006 12:06;73
82.124.29.133;André_Joseph_Abrial;28/01/2006 03:40;696
82.124.29.133;André_Joseph_Abrial;28/01/2006 03:40;2
82.124.29.133;André_Joseph_Abrial;28/01/2006 03:44;1
82.124.29.133;André_Joseph_Abrial;28/01/2006 03:44;1
Vargenau;Bataille_de_Cholet;28/01/2006 10:19;182
Vargenau;Complot_de_Charenton;29/01/2006 07:17;79
Vargenau;Complot_de_l'Œillet;29/01/2006 07:17;0
Vargenau;Complot_de_l'Œillet;29/01/2006 07:20;89
Vargenau;Coup_d'État_du_18_fructidor_an_V;29/01/2006 12:48;135
Vargenau;Conseil_exécutif_(Révolution_française);30/01/2006 09:01;99
Vicomte Moniot;Cocarde_tricolore;02/02/2006 05:08;519
Vicomte Moniot;Cocarde_tricolore;02/02/2006 05:09;4
Brozouf;Blancs_(Révolution_française);02/02/2006 08:10;261
Brozouf;Blancs_(Révolution_française);02/02/2006 08:11;17
Mwarf;Coup_d'État_du_18_fructidor_an_V;04/02/2006 05:01;14
Miniwark;Cocarde_tricolore;05/02/2006 10:30;57
Brozouf;Camille_Borghèse;05/02/2006 10:44;48
Brozouf;Camille_Borghèse;05/02/2006 10:48;208
Brozouf;Camille_Borghèse;05/02/2006 10:49;60
Brozouf;Camille_Borghèse;05/02/2006 10:53;338
Tensai;André_Joseph_Abrial;14/02/2006 06:46;48
Tensai;André_Joseph_Abrial;14/02/2006 07:04;53
Tensai;André_Joseph_Abrial;14/02/2006 07:04;2
Piku;Citoyen_actif;14/02/2006 09:39;5
Phe;Alexandre_François_Marie_de_Beauharnais;14/02/2006 11:45;2
PieRRoMaN;Citoyen_actif;20/02/2006 09:48;172
194.158.98.36;Conseil_exécutif_(Révolution_française);22/02/2006 10:35;758
194.158.98.36;Conseil_exécutif_(Révolution_française);22/02/2006 10:36;1
Richelieu;Bon_Albert_Briois_de_Beaumetz;24/02/2006 02:05;1920
Bruno Danielzik;Alexandre_François_Marie_de_Beauharnais;25/02/2006 01:05;2
Pautard;Club_de_1789;25/02/2006 08:17;455
Pautard;Club_de_1789;25/02/2006 08:19;27
Pautard;Club_de_1789;25/02/2006 08:21;27
Pautard;Club_de_1789;25/02/2006 08:22;47
Pautard;Club_de_1789;25/02/2006 08:24;17
Pautard;Club_de_1789;25/02/2006 08:26;20
Pautard;Club_de_1789;25/02/2006 08:28;30
Pautard;Club_de_1789;25/02/2006 08:30;25
Pautard;Club_de_1789;25/02/2006 08:32;23
Pautard;Club_de_1789;25/02/2006 08:33;39
Pautard;Club_de_1789;25/02/2006 08:39;23
Pautard;Club_de_1789;26/02/2006 09:19;24
Briling;Club_de_1789;11/03/2006 09:30;1234
John Keats 78;André_Joseph_Abrial;14/03/2006 08:42;36
GillesC;Bon_Albert_Briois_de_Beaumetz;15/03/2006 01:25;111
EDUCA33E;Contributions_directes;15/03/2006 03:46;3
82.124.191.160;Bonnet_phrygien;19/03/2006 06:50;118
Urban;Bonnet_phrygien;21/03/2006 05:52;51
Raoul75;André_Joseph_Abrial;30/03/2006 01:32;176
EDUCA33E;Complot_révolutionnaire_nantais_contre_les_modérés;11/04/2006 12:20;2
La Cigale;André_Joseph_Abrial;13/04/2006 06:20;10
Romary;Conseil_exécutif_(Révolution_française);15/04/2006 08:42;24
Romary;Certificat_de_civisme;16/04/2006 09:36;24
Loveless;Alexandre_François_Marie_de_Beauharnais;22/04/2006 09:56;9
Loveless;Camille_Borghèse;22/04/2006 10:10;9
Justelipse;Club_de_Salm;22/04/2006 11:39;34
Alexandrin;Bien_national;23/04/2006 08:21;45
Alexandrin;Citoyen_actif;23/04/2006 08:26;45
Alexandrin;Club_de_1789;23/04/2006 08:26;45
Alexandrin;Club_de_1789;23/04/2006 08:27;2
Alexandrin;Club_des_Impartiaux;23/04/2006 08:28;45
Loveless;André_Joseph_Abrial;23/04/2006 11:02;9
